D7,RED LED,TopLayer,LED0402R,1681.299,470,180,LED RED 0402 SMD
D6,AQ3045-01ETG,TopLayer,SOD882,334,162.205,270,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,TopLayer,SOD882,335,233.795,90,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,TopLayer,SOD882,343,368,180,TVS DIODE 5.3VWM 12VC SOD882
D3,AQ3045-01ETG,TopLayer,SOD882,340,725,270,TVS DIODE 5.3VWM 12VC SOD882
D2,AQ3045-01ETG,TopLayer,SOD882,340,815,90,TVS DIODE 5.3VWM 12VC SOD882
D1,AQ3045-01ETG,TopLayer,SOD882,340,630,180,TVS DIODE 5.3VWM 12VC SOD882
C15,"100nF, 50V",TopLayer,CAPC1005X55N,2570,845,0,CAP CER 0.1UF 50V X7R 0402
C14,"10uF, 10V",TopLayer,CAPC1005X55N,2655,845,180,CAP CER 10UF 10V X5R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X55N,535,220,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X55N,585,220,270,CAP CER 10UF 10V X5R 0402
C11,"4u7, 16V",TopLayer,CAPC1005X55N,580,360,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nF, 50V",TopLayer,CAPC1005X55N,427,344.071,270,CAP CER 0.1UF 50V X7R 0402
C9,"100nF, 50V",TopLayer,CAPC1005X55N,531,848,0,CAP CER 0.1UF 50V X7R 0402
C8,"100nF, 50V",TopLayer,CAPC1005X55N,530,685,0,CAP CER 0.1UF 50V X7R 0402
C7,"100nF, 50V",TopLayer,CAPC1005X55N,923,819,180,CAP CER 0.1UF 50V X7R 0402
C5,"100nF, 50V",TopLayer,CAPC1005X55N,2708,139,0,CAP CER 0.1UF 50V X7R 0402
C4,"100nF, 50V",TopLayer,CAPC1005X55N,2736,845,180,CAP CER 0.1UF 50V X7R 0402
C3,"100nF, 50V",TopLayer,CAPC1005X55N,730,565,180,CAP CER 0.1UF 50V X7R 0402
C2,"4u7, 16V",TopLayer,CAPC1005X55N,730,615,180,CAP CER 4.7UF 16V X5R 0402
C1,"100nF, 50V",TopLayer,CAPC1005X55N,435,630,180,CAP CER 0.1UF 50V X7R 0402
