Altium Designer Pick and Place Locations
D:\ESP 32\ESP32 with USBC\Project Outputs for ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC PCB V1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       29-08-24
Time:       20:22
Revision:   3a5e0fade4f780048de76a3d5296b8c0a4c084e5
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R19","0R","TopLayer","RESC1005X37N","2230.000","147.000","180","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R18","0R","TopLayer","RESC1005X37N","2138.000","146.000","180","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R17","10K","TopLayer","RESC1005X37N","999.000","661.008","90","RES SMD 10K OHM 1% 1/16W 0402"
"C16","1uF, 35V","TopLayer","CAPC1005X55N","1660.000","292.000","90","Cap Ceramic 1uF 35V X5R 0.25pF SMD 0402 85°C Cardboard T/R"
"R15","1K","TopLayer","RESC1005X37N","1567.008","470.000","180","RES 1K OHM 1% 1/16W 0402"
"R14","1K","TopLayer","RESC1005X37N","1570.000","550.000","180","RES 1K OHM 1% 1/16W 0402"
"R13","5K1","TopLayer","RESC1005X37N","395.000","266.992","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","335.000","75.000","180","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","10K","TopLayer","RESC1005X37N","870.000","610.000","180","RES SMD 10K OHM 1% 1/16W 0402"
"R10","5K1","TopLayer","RESC1005X37N","417.000","820.008","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R9","5K1","TopLayer","RESC1005X37N","417.000","730.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R8","4k7","TopLayer","RESC1005X37N","870.000","660.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R6","0R","TopLayer","RESC1005X37N","595.000","600.000","90","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R5","27R","TopLayer","RESC1005X37N","530.000","790.000","0","RES SMD 27 OHM 0.1% 1/16W 0402"
"R4","27R","TopLayer","RESC1005X37N","530.000","740.000","0","RES SMD 27 OHM 0.1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","695.000","515.000","0","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"J6","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J5","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","508.000","503.000","90","CONN HEADER VERT 2POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1600.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HDR_1X24_2.54MM","1600.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","GREEN","TopLayer","LED0402G","1681.299","550.000","180","LED YLW-GRN 0402 SMD"
"D7","RED LED","TopLayer","LED0402R","1681.299","470.000","180","LED RED 0402 SMD"
"D6","AQ3045-01ETG","TopLayer","SOD882","334.000","162.205","270","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","335.000","233.795","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","343.000","368.000","180","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","340.000","725.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D2","AQ3045-01ETG","TopLayer","SOD882","340.000","815.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D1","AQ3045-01ETG","TopLayer","SOD882","340.000","630.000","180","TVS DIODE 5.3VWM 12VC SOD882"
"C15","100nF, 50V","TopLayer","CAPC1005X55N","2570.000","845.000","0","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X55N","2655.000","845.000","180","CAP CER 10UF 10V X5R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X55N","535.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X55N","585.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X55N","580.000","360.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","427.000","344.071","270","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF, 50V","TopLayer","CAPC1005X55N","531.000","848.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","530.000","685.000","0","CAP CER 0.1UF 50V X7R 0402"
"C7","100nF, 50V","TopLayer","CAPC1005X55N","923.000","819.000","180","CAP CER 0.1UF 50V X7R 0402"
"C5","100nF, 50V","TopLayer","CAPC1005X55N","2708.000","139.000","0","CAP CER 0.1UF 50V X7R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","2736.000","845.000","180","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X55N","730.000","565.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4u7, 16V","TopLayer","CAPC1005X55N","730.000","615.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","435.000","630.000","180","CAP CER 0.1UF 50V X7R 0402"
